Pull,Z1_temp,Z2_temp,Z2_Bottom,Z3_temp,Z3_Bottom,Z4_Left temp,Z4_Centre temp,Z4_Right temp,sheet_thickness,Actual_thick_Min. LHS,Actual_thick_Max. LHS,Actual_thick_Min.  Center,Actual_thick_Max. Center,Actual_thick_Min. RHS,Actual_thick_Max. RHS,Roller_speed_Top,Roller_speed_Bottom,Roller_speed_Carriage,Roller_speed_Table,LEHR_SPEED,Pick_up_mark
219.62,1346.00,1252.00,1272.00,1191.00,1224.00,1134.00,1133.00,1142.00,3.20,3.11,3.24,3.05,3.26,3.21,3.29,659.00,659.00,685.00,728.00,748.00,2.31
221.70,1346.00,1253.00,1274.00,1191.00,1225.00,1134.00,1133.00,1142.00,3.20,3.26,3.34,3.03,3.15,3.26,3.30,658.00,658.00,685.00,728.00,748.00,2.10
221.79,1346.00,1252.00,1271.00,1190.00,1224.00,1134.00,1133.00,1141.00,3.20,3.13,3.17,3.02,3.21,3.12,3.15,655.00,655.00,685.00,728.00,748.00,1.93
221.88,1346.00,1251.00,1271.00,1188.00,1223.00,1132.00,1131.00,1140.00,3.20,3.11,3.16,3.05,3.14,3.17,3.20,655.00,655.00,685.00,728.00,748.00,1.94
220.60,1346.00,1251.00,1272.00,1189.00,1223.00,1131.00,1131.00,1140.00,3.20,3.11,3.17,3.04,3.16,3.17,3.16,655.00,655.00,685.00,728.00,748.00,1.40
220.08,1346.00,1252.00,1272.00,1190.00,1223.00,1133.00,1132.00,1141.00,3.20,3.24,3.31,3.05,3.18,3.27,3.35,655.00,655.00,685.00,728.00,748.00,0.85
218.09,1346.00,1252.00,1272.00,1189.00,1223.00,1132.00,1131.00,1140.00,3.20,3.17,3.22,3.06,3.16,3.16,3.21,655.00,655.00,685.00,728.00,748.00,0.29
203.57,1346.00,1248.00,1267.00,1181.00,1219.00,1129.00,1127.00,1137.00,3.20,3.28,3.32,3.05,3.15,3.25,3.30,598.00,598.00,625.00,701.00,721.00,1.39
208.38,1346.00,1248.00,1268.00,1187.00,1220.00,1129.00,1127.00,1138.00,3.20,3.12,3.16,3.03,3.24,3.12,3.18,619.00,619.00,649.00,728.00,749.00,1.18
207.16,1346.00,1249.00,1270.00,1188.00,1222.00,1131.00,1130.00,1139.00,3.20,3.25,3.33,3.06,3.19,3.26,3.30,613.00,613.00,643.00,712.00,742.00,1.46
203.89,1347.00,1249.00,1270.00,1188.00,1222.00,1131.00,1129.00,1139.00,3.20,3.14,3.20,3.05,3.16,3.18,3.22,595.00,595.00,624.00,691.00,720.00,1.70
212.50,1347.00,1250.00,1271.00,1189.00,1223.00,1133.00,1131.00,1141.00,3.20,3.26,3.34,3.03,3.15,3.26,3.30,603.00,603.00,632.00,705.00,729.00,1.53
212.28,1347.00,1249.00,1271.00,1188.00,1222.00,1132.00,1130.00,1139.00,3.20,3.12,3.24,3.04,3.25,3.15,3.26,607.00,607.00,636.00,709.00,733.00,2.52
215.20,1346.00,1250.00,1270.00,1189.00,1223.00,1134.00,1131.00,1141.00,3.20,3.12,3.23,3.09,3.24,3.15,3.21,617.00,617.00,646.00,721.00,744.00,2.81
212.84,1346.00,1251.00,1271.00,1189.00,1223.00,1134.00,1132.00,1141.00,3.20,3.26,3.34,3.03,3.15,3.26,3.30,617.00,617.00,646.00,721.00,744.00,2.43
212.99,1346.00,1250.00,1271.00,1189.00,1223.00,1133.00,1131.00,1141.00,3.20,3.13,3.17,3.02,3.21,3.12,3.15,617.00,617.00,646.00,721.00,744.00,1.97
215.59,1346.00,1251.00,1271.00,1190.00,1224.00,1136.00,1133.00,1143.00,3.20,3.11,3.16,3.05,3.14,3.17,3.20,626.00,626.00,635.00,731.00,755.00,1.78
210.48,1346.00,1250.00,1271.00,1190.00,1223.00,1135.00,1133.00,1142.00,3.20,3.11,3.17,3.04,3.16,3.17,3.16,625.00,625.00,634.00,730.00,754.00,1.60
215.77,1346.00,1250.00,1270.00,1190.00,1224.00,1136.00,1133.00,1144.00,3.20,3.24,3.31,3.05,3.18,3.27,3.32,628.00,628.00,657.00,734.00,758.00,2.07
216.34,1346.00,1250.00,1271.00,1189.00,1223.00,1135.00,1132.00,1142.00,3.20,3.26,3.34,3.03,3.15,3.26,3.30,628.00,628.00,657.00,634.00,758.00,1.70
216.79,1346.00,1251.00,1271.00,1190.00,1224.00,1136.00,1133.00,1143.00,3.20,3.12,3.24,3.04,3.25,3.15,3.26,632.00,632.00,662.00,738.00,762.00,2.64
215.86,1344.00,1250.00,1270.00,1190.00,1224.00,1136.00,1133.00,1143.00,3.20,3.26,3.34,3.03,3.15,3.26,3.30,632.00,632.00,662.00,734.00,762.00,2.09
216.69,1345.00,1251.00,1271.00,1191.00,1225.00,1137.00,1134.00,1144.00,3.20,3.24,3.29,3.03,3.22,3.07,3.28,632.00,632.00,662.00,734.00,762.00,2.15
216.57,1346.00,1251.00,1270.00,1189.00,1223.00,1135.00,1132.00,1142.00,3.20,3.20,3.24,3.16,3.19,3.05,3.23,634.00,634.00,664.00,737.00,765.00,2.45
217.73,1345.00,1250.00,1269.00,1189.00,1223.00,1134.00,1132.00,1141.00,3.20,3.12,3.24,3.04,3.25,3.15,3.26,634.00,634.00,664.00,737.00,765.00,2.88
219.33,1346.00,1252.00,1271.00,1191.00,1224.00,1135.00,1133.00,1143.00,3.20,3.13,3.26,3.02,3.25,3.25,3.32,634.00,634.00,664.00,737.00,765.00,2.51
217.61,1346.00,1251.00,1271.00,1190.00,1224.00,1135.00,1132.00,1142.00,3.20,3.26,3.34,3.03,3.15,3.26,3.30,634.00,634.00,664.00,737.00,765.00,2.55
217.08,1346.00,1252.00,1271.00,1191.00,1225.00,1136.00,1134.00,1143.00,3.20,3.23,3.30,3.05,3.14,3.14,3.17,634.00,634.00,664.00,737.00,765.00,2.35
218.08,1346.00,1252.00,1271.00,1190.00,1224.00,1135.00,1133.00,1142.00,3.20,3.23,3.32,3.04,3.22,3.13,3.17,634.00,634.00,664.00,737.00,765.00,2.94
219.01,1346.00,1252.00,1272.00,1192.00,1226.00,1137.00,1134.00,1144.00,3.20,3.21,3.30,3.02,3.20,3.15,3.20,634.00,634.00,664.00,737.00,765.00,1.59
217.21,1346,1252,1271,1191,1225,1136,1134,1143,3.2,3.13,3.26,3.02,3.25,3.25,3.32,634,634,664,737,765,3.34
217.03,1346,1251,1271,1191,1225,1137,1134,1143,3.2,3.16,3.28,3.04,3.21,3.15,3.33,634,634,664,737,765,2.46
219.03,1346,1252,1272,1193,1225,1137,1135,1143,3.2,3.11,3.24,3.05,3.26,3.21,3.29,634,634,664,737,765,
218.27,1346,1250,1270,1190,1224,1136,1134,1143,3.2,3.26,3.34,3.03,3.15,3.26,3.3,634,634,664,737,765,1.88
218.26,1345,1250,1270,1190,1224,1136,1134,1143,3.2,3.16,3.28,3.04,3.21,3.15,3.33,634,634,664,737,765,2.79
218.04,1344,1249,1269,1190,1222,1136,1133,1142,3.2,3.11,3.24,3.05,3.26,3.21,3.29,634,634,664,737,765,2.62
216.67,1345,1250,1270,1190,1224,1136,1134,1143,3.2,3.26,3.34,3.03,3.15,3.26,3.3,634,634,664,737,765,3.31
217.24,1346,1250,1270,1190,1224,1136,1133,1143,3.2,3.24,3.29,3.03,3.22,3.07,3.28,633,633,666,739,767,1.95
217.12,1346,1251,1271,1190,1224,1136,1134,1143,3.2,3.2,3.24,3.16,3.19,3.05,3.23,633,633,666,739,767,2.49
216.06,1346,1251,1271,1191,1225,1136,1134,1144,3.2,3.12,3.24,3.04,3.25,3.15,3.26,633,633,666,739,767,2.81
218.06,1346,1251,1271,1191,1225,1137,1134,1144,3.2,3.13,3.26,3.02,3.25,3.25,3.3,633,633,666,739,767,3.25
217.57,1346,1252,1271,1192,1225,1138,1136,1145,3.2,3.16,3.31,3.04,3.2,3.21,3.28,633,633,666,739,767,3.00
217.68,1346,1251,1271,1191,1225,1137,1135,1144,3.2,3.17,3.32,3.04,3.2,3.23,3.23,633,633,666,739,767,2.05
219.07,1346,1251,1271,1191,1224,1136,1134,1144,3.2,3.15,3.33,3.01,3.17,3.18,3.26,635,635,666,739,767,2.92
218.87,1346,1252,1271,1192,1225,1136,1135,1154,3.2,3.15,3.31,3.01,3.2,3.18,3.34,638,638,666,739,767,2.87
220.22,1346,1252,1271,1191,1224,1135,1133,1142,3.2,3.07,3.3,3.02,3.18,3.13,3.32,638,638,666,739,767,2.68
219.6,1346,1252,1271,1191,1224,1134,1133,1140,3.2,3.17,3.31,3.01,3.17,3.19,3.36,638,638,666,739,767,2.45
220.65,1346,1252,1272,1191,1224,1133,1132,1140,3.2,3.24,3.38,3.03,3.24,3.15,3.33,638,638,666,736,767,2.54
220.8,1346,1252,1271,1191,1224,1133,1132,1140,3.2,3.23,3.37,3.02,3.21,3.18,3.33,638,638,666,736,767,3.31
